2007_04	1
2007_08	2
2007_10	1
2008_01	1
2008_02	1
2008_05	1
2008_06	3
2008_07	3
2008_08	4
2008_09	4
2008_10	3
2008_11	1
2008_12	1
2009_01	5
2009_02	12
2009_03	19
2009_04	12
2009_05	10
2009_06	14
2009_07	6
2009_08	4
2009_09	3
2009_10	2
2009_11	5
2009_12	4
2010_01	2
2010_02	1
2010_03	8
2010_04	4
2010_05	5
2010_06	2
2010_07	5
2010_08	8
2010_09	5
2010_10	3
2010_11	7
2010_12	2
2011_01	7
2011_02	6
2011_03	6
2011_04	7
2011_05	5
2011_06	7
2011_07	2
2011_08	9
2011_09	6
2011_10	6
2011_11	4
2011_12	4
2012_01	6
2012_02	9
2012_03	6
2012_04	7
2012_05	6
2012_06	7
2012_07	9
2012_08	6
2012_09	1
2012_10	10
2012_11	3
2012_12	9
2013_01	9
2013_02	6
2013_03	3
2013_04	6
2013_05	1
2013_06	3
2013_07	7
2013_08	7
2013_09	1
2013_10	3
2013_11	3
2013_12	7
2014_01	4
2014_02	7
2014_03	3
2014_04	2
2014_05	3
2014_06	4
2014_07	4
2014_08	3
2014_09	7
2014_10	5
2014_11	5
2014_12	2
2015_01	2
2015_02	3
2015_03	5
2015_04	6
2015_05	8
2015_06	3
2015_07	2
2015_08	3
2015_09	3
2015_10	7
2015_11	3
2015_12	3
2016_01	4
2016_02	4
2016_03	3
2016_04	3
2016_05	8
2016_06	4
2016_07	4
2016_08	9
2016_09	6
2016_10	6
2016_11	4
2016_12	3
2017_01	9
2017_02	3
2017_03	4
2017_04	5
2017_05	6
2017_06	4
2017_07	6
2017_08	7
2017_09	8
2017_10	13
2017_11	6
2017_12	7
2018_01	8
2018_02	2
2018_03	5
2018_04	1
2018_05	6
2018_06	1
2018_08	1
