hour	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
2018-12-17 00:00:00	0.03366882445562984	0.03365048037503521	0.031187938501436186	0.03631569588464219	0.03189358454657064	0.035518336188918
2018-12-17 01:00:00	0.020104459368072574	0.020087789305675015	0.01820161731671031	0.022174062955222312	0.018732462913875977	0.02152433280644431
2018-12-17 02:00:00	0.012437949849394642	0.012420225744335166	0.010959965012804003	0.014042980477712214	0.011374001675653478	0.013536796428617999
2018-12-17 03:00:00	0.007812626104219832	0.0077963606675857475	0.006662787092750786	0.009050515715435865	0.006988498084102648	0.008669950658782198
2018-12-17 04:00:00	0.006433135698921407	0.006412056696999781	0.005349839920441344	0.007617432535556711	0.005656077977118604	0.00725247139121158
2018-12-17 05:00:00	0.007041708087376243	0.007039291395866338	0.006011089659635753	0.008141047354329528	0.006303989571447802	0.007782327087536579
2018-12-17 06:00:00	0.014854425396863902	0.014773212162043917	0.012501818160396062	0.017535631674244382	0.013149407552463951	0.01669970759665061
2018-12-17 07:00:00	0.025926250019422496	0.02585217914893222	0.02292513909878869	0.029375027911260992	0.023773083430002034	0.02817204993901759
2018-12-17 08:00:00	0.03549334857392556	0.035498135056478836	0.032754174478875825	0.038277561401170716	0.03353271227906267	0.03745817762658164
2018-12-17 09:00:00	0.04401244608077785	0.044015185712147006	0.04136879222406794	0.0466996946873501	0.04215932315496412	0.04586970149454023
2018-12-17 10:00:00	0.05021176556847391	0.05017547550690871	0.04766236927748918	0.05287515242417454	0.04842048339095022	0.052054739795040245
2018-12-17 11:00:00	0.052557708084801855	0.05255860045598641	0.050445785196977525	0.054745837691849424	0.05107156105682964	0.054066334447767275
2018-12-17 12:00:00	0.054509672548897166	0.05448792115453138	0.05242134566478027	0.05673780279307395	0.052990201184806726	0.056044717357241994
2018-12-17 13:00:00	0.052889701952432484	0.05287601323553981	0.05096812498698344	0.05487289982253493	0.051531920970136647	0.054285919828390775
2018-12-17 14:00:00	0.05399612458397371	0.0539907795399039	0.052095018625302296	0.055969722886204824	0.05265684844633163	0.055324934919478735
2018-12-17 15:00:00	0.054228252643756254	0.05421657904227719	0.05233434811581299	0.05616509448429536	0.0528861071863651	0.05560640516498358
2018-12-17 16:00:00	0.05497885249862341	0.054951330639453025	0.05295945210145164	0.05717017675271557	0.053548708601592776	0.056473519478985414
2018-12-17 17:00:00	0.054162529477744144	0.054163785621429046	0.05247699015992414	0.055823463190970576	0.05299931804916176	0.05534601316069461
2018-12-17 18:00:00	0.0559291034658364	0.05591980173650043	0.05401097006887134	0.05792090004433556	0.05458138425773705	0.057289737693317584
2018-12-17 19:00:00	0.06143303673238297	0.06141892083721715	0.05890184992231182	0.06396866343553008	0.059680729808114764	0.06321623390238007
2018-12-17 20:00:00	0.06598435420361683	0.06596853584484355	0.06324793909200382	0.06871261469160726	0.06408905527362814	0.067895351042859
2018-12-17 21:00:00	0.06935644443662578	0.06932005363811528	0.06615974348202182	0.07262294093175142	0.06709948167838496	0.07164877541654256
2018-12-17 22:00:00	0.06235373712655576	0.06234377550467278	0.05941388180599947	0.06530724546813955	0.06026758880852589	0.06443551298045859
2018-12-17 23:00:00	0.049623543041674996	0.04961407906791141	0.046780238731319486	0.05260697586574324	0.047590967435247086	0.05167466042444367
2018-12-18 00:00:00	0.03366882445562984	0.03365048037503521	0.031187938501436186	0.03631569588464219	0.03189358454657064	0.035518336188918
