user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur3458	2018-12-17 18:22:40.325815+00:00	2018-12-17 18:15:38+00:00	2018-12-17 18:00:50+00:00	2018-12-17 19:06:02.400000+00:00	2018-12-17 18:01:27+00:00	2018-12-17 18:57:08.170000+00:00
ur6840	2018-12-17 18:20:33.916667+00:00	2018-12-17 18:14:26+00:00	2018-12-17 18:02:28+00:00	2018-12-17 18:57:55.100000+00:00	2018-12-17 18:02:34+00:00	2018-12-17 18:46:33+00:00
ur0909	2018-12-17 17:34:57.070860+00:00	2018-12-17 17:30:46+00:00	2018-12-17 17:22:36+00:00	2018-12-17 18:00:26.900000+00:00	2018-12-17 17:22:53+00:00	2018-12-17 17:56:36.590000+00:00
ur1741						
ur7535	2018-12-17 17:26:12.634921+00:00	2018-12-17 17:14:51+00:00	2018-12-17 17:06:32+00:00	2018-12-17 18:14:23+00:00	2018-12-17 17:06:37.625000+00:00	2018-12-17 18:06:05.375000+00:00
ur7783						
ur0431						
ur4120	2018-12-17 17:28:15.223720+00:00	2018-12-17 17:20:40+00:00	2018-12-17 17:07:52.250000+00:00	2018-12-17 18:13:45.250000+00:00	2018-12-17 17:08:19+00:00	2018-12-17 17:59:21+00:00
ur7165						
ur1850						
ur1245	2018-12-17 17:23:07.320819+00:00	2018-12-17 17:08:17+00:00	2018-12-17 16:31:48.625000+00:00	2018-12-17 19:02:28.875000+00:00	2018-12-17 16:32:23+00:00	2018-12-17 18:38:30.475000+00:00
ur0900						
ur4241	2018-12-17 18:10:33+00:00	2018-12-17 18:03:35+00:00	2018-12-17 17:50:13.825000+00:00	2018-12-17 18:48:33.275000+00:00	2018-12-17 17:50:39.625000+00:00	2018-12-17 18:42:22.710000+00:00
ur0221	2018-12-17 17:18:47.035928+00:00	2018-12-17 17:15:33+00:00	2018-12-17 17:11:19+00:00	2018-12-17 17:48:52+00:00	2018-12-17 17:11:31+00:00	2018-12-17 17:33:34+00:00
ur0784	2018-12-17 17:33:57.932745+00:00	2018-12-17 17:24:38+00:00	2018-12-17 17:11:20+00:00	2018-12-17 18:19:48.750000+00:00	2018-12-17 17:11:42.010000+00:00	2018-12-17 18:13:29.780000+00:00
ur0526	2018-12-17 18:06:37.873846+00:00	2018-12-17 18:08:10+00:00	2018-12-17 17:39:33.600000+00:00	2018-12-17 18:21:09.300000+00:00	2018-12-17 17:43:32.740000+00:00	2018-12-17 18:18:32.380000+00:00
ur7521						
ur7822	2018-12-17 18:19:01.868687+00:00	2018-12-17 18:20:06+00:00	2018-12-17 17:39:41.475000+00:00	2018-12-17 19:05:35.400000+00:00	2018-12-17 17:41:56.025000+00:00	2018-12-17 19:00:46.190000+00:00
ur8719						
ur2699						
ur5025						
ur7012						
