user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur3458	2018-12-17 07:23:51.145363+00:00	2018-12-17 07:28:31+00:00	2018-12-17 06:56:43.200000+00:00	2018-12-17 07:38:33+00:00	2018-12-17 07:00:29.150000+00:00	2018-12-17 07:38:16.170000+00:00
ur6840	2018-12-17 07:19:06.708333+00:00	2018-12-17 07:20:53+00:00	2018-12-17 06:57:51.975000+00:00	2018-12-17 07:34:39+00:00	2018-12-17 07:00:00+00:00	2018-12-17 07:34:36+00:00
ur0909	2018-12-17 06:49:58.103398+00:00	2018-12-17 06:55:42+00:00	2018-12-17 06:22:25+00:00	2018-12-17 07:02:25+00:00	2018-12-17 06:26:51.620000+00:00	2018-12-17 07:02:13+00:00
ur1741						
ur7535	2018-12-17 06:37:37.579365+00:00	2018-12-17 06:40:14+00:00	2018-12-17 06:09:33+00:00	2018-12-17 06:54:27.125000+00:00	2018-12-17 06:16:34.250000+00:00	2018-12-17 06:53:45.375000+00:00
ur7783						
ur0431						
ur4120	2018-12-17 06:52:30.280323+00:00	2018-12-17 06:57:42+00:00	2018-12-17 06:24:10.250000+00:00	2018-12-17 07:07:28+00:00	2018-12-17 06:27:14.350000+00:00	2018-12-17 07:07:11.550000+00:00
ur7165						
ur1850						
ur1245	2018-12-17 07:52:38.675768+00:00	2018-12-17 08:05:45.500000+00:00	2018-12-17 06:14:31.250000+00:00	2018-12-17 08:35:24+00:00	2018-12-17 06:45:09.975000+00:00	2018-12-17 08:33:24.650000+00:00
ur0900						
ur4241	2018-12-17 07:04:53.454545+00:00	2018-12-17 07:08:46.500000+00:00	2018-12-17 06:38:31.025000+00:00	2018-12-17 07:17:29.375000+00:00	2018-12-17 06:41:10.150000+00:00	2018-12-17 07:17:27+00:00
ur0221	2018-12-17 06:37:51.313373+00:00	2018-12-17 06:37:39+00:00	2018-12-17 06:16:26.500000+00:00	2018-12-17 06:58:34+00:00	2018-12-17 06:17:21+00:00	2018-12-17 06:57:17+00:00
ur0784	2018-12-17 06:42:54.657111+00:00	2018-12-17 06:48:01+00:00	2018-12-17 06:13:32.100000+00:00	2018-12-17 06:58:47+00:00	2018-12-17 06:18:07+00:00	2018-12-17 06:58:35.990000+00:00
ur0526	2018-12-17 07:24:26.713846+00:00	2018-12-17 07:26:41+00:00	2018-12-17 06:55:07.900000+00:00	2018-12-17 07:31:38.900000+00:00	2018-12-17 07:13:40.620000+00:00	2018-12-17 07:30:59+00:00
ur7521						
ur7822	2018-12-17 07:41:58.905724+00:00	2018-12-17 07:47:15.500000+00:00	2018-12-17 07:01:02.700000+00:00	2018-12-17 08:05:08+00:00	2018-12-17 07:08:39.405000+00:00	2018-12-17 08:04:33.190000+00:00
ur8719						
ur2699						
ur5025						
ur7012						
ur3338	2018-12-17 06:56:04.692935+00:00	2018-12-17 06:58:49.500000+00:00	2018-12-17 06:32:28+00:00	2018-12-17 07:08:42+00:00	2018-12-17 06:36:33+00:00	2018-12-17 07:08:30.525000+00:00
ur3473						
ur2636						
ur8740						
ur7947						
ur3484						
ur1999						
ur5073	2018-12-17 06:42:53.417808+00:00	2018-12-17 06:46:34.500000+00:00	2018-12-17 06:13:18.150000+00:00	2018-12-17 06:58:44+00:00	2018-12-17 06:19:36.785000+00:00	2018-12-17 06:58:32+00:00
ur4242						
ur6538	2018-12-17 06:54:57.639390+00:00	2018-12-17 06:59:18+00:00	2018-12-17 06:21:52+00:00	2018-12-17 07:17:57+00:00	2018-12-17 06:24:22.200000+00:00	2018-12-17 07:17:13+00:00
ur8670						
ur3602						
ur4592						
ur5262	2018-12-17 07:26:11.505882+00:00	2018-12-17 07:29:00+00:00	2018-12-17 06:33:01.600000+00:00	2018-12-17 07:53:14.900000+00:00	2018-12-17 06:50:33.500000+00:00	2018-12-17 07:53:10.580000+00:00
ur3426	2018-12-17 07:15:27.535714+00:00	2018-12-17 07:22:00+00:00	2018-12-17 06:48:44+00:00	2018-12-17 07:29:57+00:00	2018-12-17 06:50:44.905000+00:00	2018-12-17 07:29:46+00:00
ur1366						
ur7272						
ur8049	2018-12-17 05:51:22.061713+00:00	2018-12-17 05:44:59+00:00	2018-12-17 05:39:51+00:00	2018-12-17 06:22:29+00:00	2018-12-17 05:40:01+00:00	2018-12-17 06:19:04+00:00
ur5149	2018-12-17 06:34:02.952703+00:00	2018-12-17 06:41:20+00:00	2018-12-17 05:54:07.175000+00:00	2018-12-17 06:54:40.650000+00:00	2018-12-17 06:05:26.485000+00:00	2018-12-17 06:54:03.535000+00:00
ur3955	2018-12-17 07:04:47.379136+00:00	2018-12-17 07:04:28+00:00	2018-12-17 06:41:42.550000+00:00	2018-12-17 07:25:53+00:00	2018-12-17 06:42:51.470000+00:00	2018-12-17 07:25:05.530000+00:00
ur4375	2018-12-17 07:05:44.025819+00:00	2018-12-17 07:09:59+00:00	2018-12-17 06:31:56.400000+00:00	2018-12-17 07:20:46+00:00	2018-12-17 06:40:26+00:00	2018-12-17 07:20:30+00:00
ur4845	2018-12-17 07:25:35.006536+00:00	2018-12-17 07:31:50+00:00	2018-12-17 06:37:13+00:00	2018-12-17 07:42:14+00:00	2018-12-17 06:52:41.920000+00:00	2018-12-17 07:42:10+00:00
ur4389						
ur3520	2018-12-17 07:10:00.855586+00:00	2018-12-17 07:13:26+00:00	2018-12-17 06:44:41.275000+00:00	2018-12-17 07:22:00.675000+00:00	2018-12-17 06:50:41.305000+00:00	2018-12-17 07:21:41+00:00
ur4836						
ur8942						
ur4910						
ur6067	2018-12-17 06:18:14.364020+00:00	2018-12-17 06:18:38+00:00	2018-12-17 06:07:00+00:00	2018-12-17 06:29:10+00:00	2018-12-17 06:08:35+00:00	2018-12-17 06:28:02+00:00
ur2587	2018-12-17 07:08:52.562882+00:00	2018-12-17 07:12:01+00:00	2018-12-17 06:45:13.800000+00:00	2018-12-17 07:25:06+00:00	2018-12-17 06:48:24.590000+00:00	2018-12-17 07:24:43.470000+00:00
ur2330						
ur6226						
