user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur6840	2018-12-17 06:53:31.434028+00:00	2018-12-17 06:56:09+00:00	2018-12-17 06:32:57+00:00	2018-12-17 07:08:31+00:00	2018-12-17 06:34:42.395000+00:00	2018-12-17 07:08:27.605000+00:00
ur0909	2018-12-17 06:23:28.363702+00:00	2018-12-17 06:29:17+00:00	2018-12-17 05:56:49.450000+00:00	2018-12-17 06:35:39+00:00	2018-12-17 06:01:01.210000+00:00	2018-12-17 06:35:26.060000+00:00
ur1741						
ur7535	2018-12-17 06:10:45.531746+00:00	2018-12-17 06:12:55+00:00	2018-12-17 05:44:21+00:00	2018-12-17 06:27:00+00:00	2018-12-17 05:50:45+00:00	2018-12-17 06:26:19.375000+00:00
ur7783						
ur0431						
ur4120	2018-12-17 06:24:37.371968+00:00	2018-12-17 06:28:55+00:00	2018-12-17 05:57:29+00:00	2018-12-17 06:38:53.750000+00:00	2018-12-17 06:00:06.900000+00:00	2018-12-17 06:38:43.100000+00:00
ur7165						
ur1850						
ur1245	2018-12-17 07:12:08.546075+00:00	2018-12-17 07:25:53+00:00	2018-12-17 05:38:35.875000+00:00	2018-12-17 07:50:48.750000+00:00	2018-12-17 06:09:17.975000+00:00	2018-12-17 07:49:29+00:00
ur0900						
ur4241	2018-12-17 06:39:27.545455+00:00	2018-12-17 06:43:18+00:00	2018-12-17 06:14:10.475000+00:00	2018-12-17 06:51:30.750000+00:00	2018-12-17 06:16:19.685000+00:00	2018-12-17 06:51:26+00:00
ur0221	2018-12-17 06:10:51.592814+00:00	2018-12-17 06:10:26+00:00	2018-12-17 05:50:21.500000+00:00	2018-12-17 06:31:04+00:00	2018-12-17 05:51:14+00:00	2018-12-17 06:29:36.500000+00:00
ur0784	2018-12-17 06:16:09.264609+00:00	2018-12-17 06:21:01+00:00	2018-12-17 05:48:16.350000+00:00	2018-12-17 06:31:21+00:00	2018-12-17 05:52:26.160000+00:00	2018-12-17 06:31:10.970000+00:00
ur0526	2018-12-17 06:57:16.049231+00:00	2018-12-17 06:59:38+00:00	2018-12-17 06:28:18.600000+00:00	2018-12-17 07:03:54.900000+00:00	2018-12-17 06:45:51.540000+00:00	2018-12-17 07:03:23.460000+00:00
ur7521						
ur7822	2018-12-17 07:12:20.951178+00:00	2018-12-17 07:17:53+00:00	2018-12-17 06:33:17.875000+00:00	2018-12-17 07:33:52+00:00	2018-12-17 06:40:49+00:00	2018-12-17 07:33:20.595000+00:00
ur8719						
ur2699						
ur5025						
ur7012						
ur3338	2018-12-17 06:31:43.593750+00:00	2018-12-17 06:34:05+00:00	2018-12-17 06:08:32.375000+00:00	2018-12-17 06:43:56+00:00	2018-12-17 06:12:49.850000+00:00	2018-12-17 06:43:45+00:00
ur3473						
ur2636						
ur8740						
ur7947						
ur3484						
ur1999						
ur5073	2018-12-17 06:16:25.966732+00:00	2018-12-17 06:20:13.500000+00:00	2018-12-17 05:48:18.150000+00:00	2018-12-17 06:31:18+00:00	2018-12-17 05:53:42.065000+00:00	2018-12-17 06:31:05+00:00
ur4242						
ur6538	2018-12-17 06:30:49.553398+00:00	2018-12-17 06:34:34+00:00	2018-12-17 05:59:02+00:00	2018-12-17 06:53:18+00:00	2018-12-17 06:01:29.400000+00:00	2018-12-17 06:52:35+00:00
ur8670						
ur3602						
ur4592						
ur5262	2018-12-17 06:57:00.694118+00:00	2018-12-17 06:59:16+00:00	2018-12-17 06:05:58.900000+00:00	2018-12-17 07:22:59+00:00	2018-12-17 06:23:32.360000+00:00	2018-12-17 07:22:58.720000+00:00
ur3426	2018-12-17 06:48:49.667582+00:00	2018-12-17 06:55:15.500000+00:00	2018-12-17 06:23:03+00:00	2018-12-17 07:03:00+00:00	2018-12-17 06:24:57.170000+00:00	2018-12-17 07:02:45+00:00
ur1366						
ur7272						
ur8049	2018-12-17 05:23:43.642947+00:00	2018-12-17 05:17:03+00:00	2018-12-17 05:11:36+00:00	2018-12-17 05:56:03+00:00	2018-12-17 05:11:41+00:00	2018-12-17 05:52:23+00:00
ur5149	2018-12-17 06:07:15.662162+00:00	2018-12-17 06:15:16+00:00	2018-12-17 05:29:06.850000+00:00	2018-12-17 06:27:10+00:00	2018-12-17 05:39:45.960000+00:00	2018-12-17 06:26:37+00:00
ur3955	2018-12-17 06:37:10.361750+00:00	2018-12-17 06:36:37+00:00	2018-12-17 06:15:06.550000+00:00	2018-12-17 06:57:46+00:00	2018-12-17 06:16:12+00:00	2018-12-17 06:56:53.710000+00:00
ur4375	2018-12-17 06:36:32.962846+00:00	2018-12-17 06:41:08+00:00	2018-12-17 06:04:01.375000+00:00	2018-12-17 06:50:40+00:00	2018-12-17 06:12:15+00:00	2018-12-17 06:50:20.105000+00:00
ur4845	2018-12-17 06:55:09.346405+00:00	2018-12-17 07:01:20+00:00	2018-12-17 06:09:20.800000+00:00	2018-12-17 07:10:43+00:00	2018-12-17 06:23:20.920000+00:00	2018-12-17 07:10:37+00:00
ur4389						
ur3520	2018-12-17 06:45:00.558583+00:00	2018-12-17 06:48:31.500000+00:00	2018-12-17 06:20:36+00:00	2018-12-17 06:56:39+00:00	2018-12-17 06:26:33+00:00	2018-12-17 06:56:17.390000+00:00
ur4836						
ur8942						
ur4910						
ur6067	2018-12-17 05:53:00.929054+00:00	2018-12-17 05:53:26+00:00	2018-12-17 05:41:58+00:00	2018-12-17 06:03:40+00:00	2018-12-17 05:43:32+00:00	2018-12-17 06:02:35+00:00
ur2587	2018-12-17 06:43:31.826618+00:00	2018-12-17 06:46:25+00:00	2018-12-17 06:20:28.350000+00:00	2018-12-17 06:59:13+00:00	2018-12-17 06:23:42+00:00	2018-12-17 06:58:51+00:00
ur2330						
ur6226						
