user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur3458	2018-12-17 17:56:40.619048+00:00	2018-12-17 17:48:55+00:00	2018-12-17 17:34:11+00:00	2018-12-17 18:41:40.400000+00:00	2018-12-17 17:34:43+00:00	2018-12-17 18:32:31.340000+00:00
ur6840	2018-12-17 17:54:58.635417+00:00	2018-12-17 17:48:03+00:00	2018-12-17 17:36:20+00:00	2018-12-17 18:33:42.575000+00:00	2018-12-17 17:36:24.395000+00:00	2018-12-17 18:21:49+00:00
ur0909	2018-12-17 17:08:27.316703+00:00	2018-12-17 17:04:22+00:00	2018-12-17 16:55:47+00:00	2018-12-17 17:34:46.350000+00:00	2018-12-17 16:56:05+00:00	2018-12-17 17:30:42.590000+00:00
ur1741						
ur7535	2018-12-17 16:59:20.563492+00:00	2018-12-17 16:47:45.500000+00:00	2018-12-17 16:38:58+00:00	2018-12-17 17:49:19.375000+00:00	2018-12-17 16:39:04+00:00	2018-12-17 17:40:47.375000+00:00
ur7783						
ur0431						
ur4120	2018-12-17 17:00:22.215633+00:00	2018-12-17 16:52:38+00:00	2018-12-17 16:39:16+00:00	2018-12-17 17:47:44.750000+00:00	2018-12-17 16:39:42+00:00	2018-12-17 17:32:45+00:00
ur7165						
ur1850						
ur1245	2018-12-17 16:42:37.201365+00:00	2018-12-17 16:27:46.500000+00:00	2018-12-17 15:47:06+00:00	2018-12-17 18:26:33.875000+00:00	2018-12-17 15:48:04+00:00	2018-12-17 18:02:39.475000+00:00
ur0900						
ur4241	2018-12-17 17:45:07.181818+00:00	2018-12-17 17:37:32+00:00	2018-12-17 17:23:59.825000+00:00	2018-12-17 18:24:40.700000+00:00	2018-12-17 17:24:24.840000+00:00	2018-12-17 18:18:18.505000+00:00
ur0221	2018-12-17 16:51:47.327345+00:00	2018-12-17 16:48:28+00:00	2018-12-17 16:43:52.500000+00:00	2018-12-17 17:22:33+00:00	2018-12-17 16:44:04+00:00	2018-12-17 17:06:23.500000+00:00
ur0784	2018-12-17 17:07:12.578831+00:00	2018-12-17 16:57:35+00:00	2018-12-17 16:43:55+00:00	2018-12-17 17:54:48.750000+00:00	2018-12-17 16:44:20.010000+00:00	2018-12-17 17:48:20.770000+00:00
ur0526	2018-12-17 17:39:27.175385+00:00	2018-12-17 17:40:55+00:00	2018-12-17 17:11:37.100000+00:00	2018-12-17 17:54:37.200000+00:00	2018-12-17 17:15:59.640000+00:00	2018-12-17 17:51:52.380000+00:00
ur7521						
ur7822	2018-12-17 17:49:23.942761+00:00	2018-12-17 17:50:28+00:00	2018-12-17 17:08:17+00:00	2018-12-17 18:37:51.400000+00:00	2018-12-17 17:10:46.025000+00:00	2018-12-17 18:32:57.190000+00:00
ur8719						
ur2699						
ur5025						
ur7012						
ur3338	2018-12-17 17:51:34.330163+00:00	2018-12-17 17:46:24+00:00	2018-12-17 17:29:38+00:00	2018-12-17 18:25:46.625000+00:00	2018-12-17 17:30:15.950000+00:00	2018-12-17 18:21:45+00:00
ur3473						
ur2636						
ur8740						
ur7947						
ur3484						
ur1999						
ur5073	2018-12-17 17:16:28.146771+00:00	2018-12-17 17:15:30+00:00	2018-12-17 16:44:10.525000+00:00	2018-12-17 17:54:31.900000+00:00	2018-12-17 16:45:14.570000+00:00	2018-12-17 17:48:46.860000+00:00
ur4242						
ur6538	2018-12-17 17:55:58.984743+00:00	2018-12-17 17:50:26+00:00	2018-12-17 17:41:19+00:00	2018-12-17 18:22:01+00:00	2018-12-17 17:41:36+00:00	2018-12-17 18:18:40.800000+00:00
ur8670						
ur3602						
ur4592						
ur5262	2018-12-17 17:31:28.023529+00:00	2018-12-17 17:15:31+00:00	2018-12-17 17:06:46.300000+00:00	2018-12-17 18:44:27.100000+00:00	2018-12-17 17:07:45.080000+00:00	2018-12-17 18:33:04.340000+00:00
ur3426	2018-12-17 17:32:40.751832+00:00	2018-12-17 17:30:04+00:00	2018-12-17 17:21:08+00:00	2018-12-17 18:00:52.175000+00:00	2018-12-17 17:21:33+00:00	2018-12-17 17:53:25.265000+00:00
ur1366						
ur7272						
ur8049	2018-12-17 19:50:55.214736+00:00	2018-12-17 19:55:53+00:00	2018-12-17 19:22:09.550000+00:00	2018-12-17 20:07:53+00:00	2018-12-17 19:24:39.370000+00:00	2018-12-17 20:07:25+00:00
ur5149	2018-12-17 16:59:11.513514+00:00	2018-12-17 16:52:32.500000+00:00	2018-12-17 16:39:01.350000+00:00	2018-12-17 17:58:45.950000+00:00	2018-12-17 16:39:32.465000+00:00	2018-12-17 17:27:03.425000+00:00
ur3955	2018-12-17 17:11:29.593382+00:00	2018-12-17 17:08:10+00:00	2018-12-17 17:03:05+00:00	2018-12-17 17:41:44.350000+00:00	2018-12-17 17:03:46+00:00	2018-12-17 17:22:30.060000+00:00
