user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ud1171	2018-12-17 17:50:45.538462+00:00	2018-12-17 17:45:24+00:00	2018-12-17 17:15:31.875000+00:00	2018-12-17 18:31:26.250000+00:00	2018-12-17 17:17:44.050000+00:00	2018-12-17 18:21:36.825000+00:00
ud0611	2018-12-17 17:10:18.845395+00:00	2018-12-17 17:03:59+00:00	2018-12-17 16:44:10.350000+00:00	2018-12-17 17:55:23.250000+00:00	2018-12-17 16:45:06.380000+00:00	2018-12-17 17:47:09+00:00
ud0720	2018-12-17 17:16:38.764356+00:00	2018-12-17 17:06:06+00:00	2018-12-17 16:46:23+00:00	2018-12-17 18:10:54.800000+00:00	2018-12-17 16:46:50.520000+00:00	2018-12-17 18:04:45.880000+00:00
ud0534	2018-12-17 17:07:52.793103+00:00	2018-12-17 16:44:17+00:00	2018-12-17 16:35:15.900000+00:00	2018-12-17 18:30:48.500000+00:00	2018-12-17 16:35:38.060000+00:00	2018-12-17 18:10:20.980000+00:00
ud0761	2018-12-17 17:22:58.740741+00:00	2018-12-17 17:21:43+00:00	2018-12-17 16:40:20.650000+00:00	2018-12-17 18:01:56.150000+00:00	2018-12-17 16:40:57.030000+00:00	2018-12-17 18:00:09.855000+00:00
ud1151	2018-12-17 17:09:26.775000+00:00	2018-12-17 17:03:54+00:00	2018-12-17 16:55:39+00:00	2018-12-17 18:08:26.025000+00:00	2018-12-17 16:55:48+00:00	2018-12-17 17:41:37.375000+00:00
ud1187	2018-12-17 16:49:57.505806+00:00	2018-12-17 16:35:46+00:00	2018-12-17 16:21:09.350000+00:00	2018-12-17 17:57:03.400000+00:00	2018-12-17 16:21:37+00:00	2018-12-17 17:45:36+00:00
ud0998	2018-12-17 16:56:48.834669+00:00	2018-12-17 16:42:24.500000+00:00	2018-12-17 15:44:34.925000+00:00	2018-12-17 18:38:21.650000+00:00	2018-12-17 15:47:10.980000+00:00	2018-12-17 18:26:14.415000+00:00
ud0859	2018-12-17 17:32:06.140693+00:00	2018-12-17 17:28:53+00:00	2018-12-17 17:07:07+00:00	2018-12-17 18:11:08.175000+00:00	2018-12-17 17:08:14.820000+00:00	2018-12-17 18:02:32.725000+00:00
ud0988	2018-12-17 16:44:47.018576+00:00	2018-12-17 16:44:17+00:00	2018-12-17 15:59:16+00:00	2018-12-17 17:17:37.200000+00:00	2018-12-17 16:09:01.080000+00:00	2018-12-17 17:12:54.600000+00:00
ud1152	2018-12-17 17:41:10.464286+00:00	2018-12-17 17:34:45+00:00	2018-12-17 17:17:28.475000+00:00	2018-12-17 18:57:49.900000+00:00	2018-12-17 17:17:43.520000+00:00	2018-12-17 18:25:06.585000+00:00
ud1033	2018-12-17 18:14:48.197955+00:00	2018-12-17 18:17:43.500000+00:00	2018-12-17 17:24:55.750000+00:00	2018-12-17 19:03:47.375000+00:00	2018-12-17 17:27:27.750000+00:00	2018-12-17 19:01:41.875000+00:00
ud1082	2018-12-17 17:10:00.537572+00:00	2018-12-17 16:49:43+00:00	2018-12-17 16:29:08.600000+00:00	2018-12-17 17:57:43.700000+00:00	2018-12-17 16:31:52+00:00	2018-12-17 17:55:35.320000+00:00
ud1062						
ud0913	2018-12-17 17:02:38.474286+00:00	2018-12-17 17:01:41.500000+00:00	2018-12-17 16:24:47.900000+00:00	2018-12-17 17:53:28.525000+00:00	2018-12-17 16:25:47.415000+00:00	2018-12-17 17:47:16+00:00
ud0564	2018-12-17 16:53:57.718569+00:00	2018-12-17 16:46:17+00:00	2018-12-17 16:14:50+00:00	2018-12-17 18:07:23.975000+00:00	2018-12-17 16:15:55.805000+00:00	2018-12-17 17:49:58.195000+00:00
ud1048	2018-12-17 16:36:12.829787+00:00	2018-12-17 16:16:58+00:00	2018-12-17 15:50:21+00:00	2018-12-17 18:18:31.850000+00:00	2018-12-17 15:53:55.670000+00:00	2018-12-17 18:16:34.060000+00:00
ud0652						
ud0916	2018-12-17 17:39:11.637457+00:00	2018-12-17 17:25:52+00:00	2018-12-17 17:17:28+00:00	2018-12-17 18:31:53.850000+00:00	2018-12-17 17:17:51+00:00	2018-12-17 18:26:32+00:00
ud0520	2018-12-17 17:01:22.549837+00:00	2018-12-17 16:54:45.500000+00:00	2018-12-17 16:25:23+00:00	2018-12-17 18:01:43+00:00	2018-12-17 16:25:43+00:00	2018-12-17 17:54:43.045000+00:00
ud0559	2018-12-17 17:28:52.226667+00:00	2018-12-17 17:06:10.500000+00:00	2018-12-17 16:31:41.900000+00:00	2018-12-17 18:55:41.275000+00:00	2018-12-17 16:34:03.330000+00:00	2018-12-17 18:44:00.400000+00:00
ud0964	2018-12-17 17:05:10.397203+00:00	2018-12-17 17:34:17+00:00	2018-12-17 15:06:09.250000+00:00	2018-12-17 18:34:08.450000+00:00	2018-12-17 15:13:23+00:00	2018-12-17 18:29:11.620000+00:00
ud0802	2018-12-17 17:05:42.050532+00:00	2018-12-17 17:04:45+00:00	2018-12-17 16:39:34.725000+00:00	2018-12-17 17:45:01+00:00	2018-12-17 16:46:50+00:00	2018-12-17 17:30:40+00:00
ud0901	2018-12-17 16:59:07.830601+00:00	2018-12-17 16:48:06+00:00	2018-12-17 16:27:57.125000+00:00	2018-12-17 18:13:08+00:00	2018-12-17 16:28:40+00:00	2018-12-17 17:57:36.025000+00:00
ud0494						
ud1147	2018-12-17 18:06:42.401035+00:00	2018-12-17 18:03:25+00:00	2018-12-17 17:45:38.300000+00:00	2018-12-17 18:45:57.700000+00:00	2018-12-17 17:47:56.860000+00:00	2018-12-17 18:35:47.440000+00:00
ud0639	2018-12-17 17:31:05.471429+00:00	2018-12-17 17:20:16.500000+00:00	2018-12-17 17:07:09+00:00	2018-12-17 18:29:32.050000+00:00	2018-12-17 17:07:22.605000+00:00	2018-12-17 18:26:21+00:00
ud0957						
ud0733	2018-12-17 17:47:12.982301+00:00	2018-12-17 17:44:56+00:00	2018-12-17 17:20:44+00:00	2018-12-17 18:25:53.800000+00:00	2018-12-17 17:21:15+00:00	2018-12-17 18:12:26.160000+00:00
ud0629	2018-12-17 16:45:48.922236+00:00	2018-12-17 16:30:54+00:00	2018-12-17 15:47:33+00:00	2018-12-17 18:21:33.350000+00:00	2018-12-17 15:48:39.870000+00:00	2018-12-17 18:11:57.260000+00:00
ud1110	2018-12-17 18:03:07.908654+00:00	2018-12-17 18:03:32+00:00	2018-12-17 17:19:11.925000+00:00	2018-12-17 18:45:32.950000+00:00	2018-12-17 17:20:44.975000+00:00	2018-12-17 18:43:06.835000+00:00
ud0632						
ud0518	2018-12-17 16:54:10.730623+00:00	2018-12-17 16:38:16+00:00	2018-12-17 15:50:07+00:00	2018-12-17 18:26:14+00:00	2018-12-17 15:51:08+00:00	2018-12-17 18:14:39.550000+00:00
ud1058	2018-12-17 16:37:32.862595+00:00	2018-12-17 16:28:33+00:00	2018-12-17 16:19:52.350000+00:00	2018-12-17 17:44:52.100000+00:00	2018-12-17 16:20:22.180000+00:00	2018-12-17 17:19:23.430000+00:00
