hour	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
2018-12-17 00:00:00	0.03404415469690226	0.03403099559326413	0.031743571529028645	0.03640736019409389	0.032443770872879855	0.03567877724577976
2018-12-17 01:00:00	0.02091644254576892	0.02090173905571134	0.019130984546850076	0.022813494715700114	0.019646955573556904	0.022218673477292027
2018-12-17 02:00:00	0.013009805342242725	0.012992723259717134	0.011664606864581322	0.01444137676920756	0.012057307046597836	0.013996296946056168
2018-12-17 03:00:00	0.008632268198465142	0.008622091120224943	0.007590189476131462	0.00974047279082511	0.007894049925307133	0.009388060255786172
2018-12-17 04:00:00	0.007280513863513459	0.007265363360701449	0.006309299871973624	0.008326868969123538	0.006573828328582372	0.0080033066479928
2018-12-17 05:00:00	0.007602958558378916	0.007591099501174459	0.006642036046578792	0.008624426144599209	0.006912207587914399	0.00830756719681933
2018-12-17 06:00:00	0.014693178506523939	0.014625559016013808	0.012636346587796613	0.017100058062453367	0.01318214988969614	0.01632837004508728
2018-12-17 07:00:00	0.025989125549967504	0.025947684169000732	0.02332548288506898	0.029020828365743722	0.024053034064055595	0.02802999412987178
2018-12-17 08:00:00	0.035528538025335434	0.03551350731421005	0.03296201320543235	0.03819023123529871	0.03366114992970613	0.03739574878434863
2018-12-17 09:00:00	0.04377252887644776	0.04378640792983686	0.041491155440724396	0.04611504335834242	0.04213627752492054	0.045385900352383726
2018-12-17 10:00:00	0.04999210169883646	0.04997118300860441	0.0476787396010641	0.052481933572908604	0.048346462805088176	0.051687880837885364
2018-12-17 11:00:00	0.05221469543687257	0.05220301473421651	0.050233263286902134	0.05426969490512977	0.050826428507828855	0.05363655742630225
2018-12-17 12:00:00	0.05387173519999037	0.05386354535859039	0.052036317527008484	0.05577247789947195	0.05255855771661846	0.05519642903205464
2018-12-17 13:00:00	0.05258995297147111	0.052580390062842486	0.0508794769330434	0.05437086360208499	0.0513926810016164	0.05381261596883901
2018-12-17 14:00:00	0.053224078891794056	0.05321261889297171	0.05156370507185569	0.05492443401256354	0.052065156742538435	0.054390425778848
2018-12-17 15:00:00	0.05374637203779978	0.053743675789379435	0.05196449060579742	0.0556020303079208	0.05247915896496974	0.0550260405907747
2018-12-17 16:00:00	0.05484287606193458	0.054819851439965095	0.053015827538064976	0.05681720534204452	0.05355304893345692	0.0561720106049226
2018-12-17 17:00:00	0.054322681673545176	0.054326593262863446	0.052872432010917854	0.05575823805644222	0.05330506093941978	0.05532497794583565
2018-12-17 18:00:00	0.056272480139441666	0.05626704888793364	0.054572127987269695	0.05799941086413963	0.055067391150812973	0.05749404894131797
2018-12-17 19:00:00	0.06096705823818762	0.060961815547189935	0.05889146632921855	0.06311253202819972	0.05948521463638206	0.062440814255931815
2018-12-17 20:00:00	0.06623387909144203	0.06623116938730862	0.06369066945777738	0.068884364506959	0.06444094952076015	0.06805612399239368
2018-12-17 21:00:00	0.06927818132127184	0.06923980937106011	0.06632173356333392	0.0723628387865619	0.06719088381808992	0.0714231277098083
2018-12-17 22:00:00	0.06175107549875353	0.0617449335184895	0.05924296898566294	0.0642777584343772	0.0599716706389855	0.06349797408572436
2018-12-17 23:00:00	0.04922331757511316	0.0492076990590207	0.04672587235561522	0.0517722416793203	0.04745148803814326	0.05101858392347449
2018-12-18 00:00:00	0.03404415469690226	0.03403099559326413	0.031743571529028645	0.03640736019409389	0.032443770872879855	0.03567877724577976
